Membership No  Date Joined  Active  
    63195      2016-8-6     no    
    75544      2020-8-14    no    
    33812      2017-8-18    no    
    52341      2018-8-12    no    
    45162      2015-11-22   no    
    55903      2017-4-4     no    
    32395      2016-1-3     no    
    58928      2019-6-18    no    
    41822      2016-8-6     no    
    12078      2019-7-7     no    
    21203      2016-4-20    no    
    47799      2017-4-10    no    
    89475      2015-6-16    no    
    67886      2020-7-19    no    
    90694      2020-6-11    no    
    12353      2019-2-24    no    
