Membership No  Date Joined  Active  
    63538      2018-7-12    yes   
    51023      2015-2-23    yes   
    89196      2016-6-1     yes   
    98749      2019-5-16    no    
    56406      2019-11-9    no    
    49052      2019-9-12    yes   
    49827      2020-12-3    yes   
    60095      2020-3-10    yes   
    63668      2017-10-3    yes   
    39657      2015-1-5     yes   
    33908      2016-3-18    no    
    33250      2019-10-9    yes   
    61945      2018-2-1     yes   
    21742      2016-1-19    no    
    23447      2016-1-18    yes   
    76128      2017-1-24    no    
    42257      2015-2-25    no    
    66061      2020-6-14    no    
    49876      2017-4-8     yes   
    40357      2017-9-2     no    
